,event_id,squadnumber,team_name,player_name_x,player_id,rating,minutes_played,shotstotal,shotson,offsides,gconceded,gassists,gtotal,ptotal,pkey,paccuracy,ttotal,tblocks,tinterc,dtotal,dwon,dattempts,dsuccess,dpast,fdrawn,fcommit,red,yellow,penaltysuccess,player_name_y,Opponent
114,168053,4,Sunderland,Jordan Willis,19992,6.9,90,0,0,,0,0,0,17,0,81,0,0,1,0,0,1,1,0,1,0,0,0,0,Jordan Willis,MK Dons
115,168053,3,Sunderland,Joel Lynch,19581,7.4,90,0,0,,0,0,0,18,1,62,2,1,3,0,0,0,0,0,2,2,0,0,0,Joel Lynch,MK Dons
116,168053,28,Sunderland,Laurens De Bock,8693,6.8,64,0,0,,0,0,0,19,1,79,0,0,1,0,0,1,1,1,0,1,0,0,0,Laurens De Bock,MK Dons
117,168053,8,Sunderland,Dylan McGeouch,19908,6.6,90,1,0,,0,0,0,30,1,73,3,0,2,0,0,0,0,1,0,3,0,0,0,Dylan McGeouch,MK Dons
118,168053,6,Sunderland,Max Power,19912,7.4,90,6,2,,0,0,1,42,0,85,1,0,1,0,0,1,1,1,0,0,0,1,0,Max Power,MK Dons
119,168053,7,Sunderland,Chris Maguire,19916,7.4,90,4,1,,0,0,0,40,4,85,2,0,0,0,0,1,1,0,0,1,0,1,0,Chris Maguire,MK Dons
120,168053,13,Sunderland,Luke O'Nien,19911,7.5,90,3,2,,0,0,1,34,1,81,1,0,0,0,0,1,0,0,3,4,0,1,0,Luke O'Nien,MK Dons
121,168053,11,Sunderland,Lynden Gooch,19901,6.9,89,3,0,,0,0,0,37,3,82,1,0,1,0,0,2,2,0,2,1,0,0,0,Lynden Gooch,MK Dons
122,168053,9,Sunderland,Charlie Wyke,19918,7.1,81,1,1,,0,1,0,18,2,81,0,0,0,0,0,1,1,0,3,1,0,0,0,Charlie Wyke,MK Dons
123,168053,33,Sunderland,Denver Hume,19888,6.8,26,0,0,,0,0,0,6,0,60,2,1,0,0,0,0,0,0,0,2,0,0,0,Denver Hume,MK Dons
124,168053,18,Sunderland,George Dobson,20436,0,1,0,0,,0,0,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,George Dobson,MK Dons
125,168053,22,Sunderland,Will Grigg,19915,6.4,9,0,0,,0,0,0,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,Will Grigg,MK Dons
126,168061,1,Sunderland,Jon McLaughlin,19880,6.1,90,0,0,,2,0,0,10,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,Jon McLaughlin,Lincoln City
